dbname,Missing feature cells,Observed feature cells,Total feature cells,Overall missing percent,N residents/rows
C0735,114,930,1044,0.10919540229885058,36
C0736,9,397,406,0.022167487684729065,14
C0737,84,960,1044,0.08045977011494253,36
C0738,45,1637,1682,0.0267538644470868,58
C0739,204,434,638,0.31974921630094044,22
C0752,102,1551,1653,0.06170598911070781,57
C0753,6,487,493,0.012170385395537525,17
C0755,63,1126,1189,0.05298570227081581,41
C0756,171,525,696,0.24568965517241378,24
C0758,102,1232,1334,0.07646176911544228,46
C0759,243,598,841,0.28894173602853745,29
C0760,153,1674,1827,0.08374384236453201,63
C0761,12,1090,1102,0.010889292196007259,38
C0762,213,1962,2175,0.09793103448275862,75
C0763,120,953,1073,0.11183597390493942,37
C0766,48,996,1044,0.04597701149425287,36
C0767,294,257,551,0.5335753176043557,19
C0768,78,879,957,0.08150470219435736,33
C0769,36,979,1015,0.035467980295566505,35
C0770,156,1033,1189,0.1312026913372582,41
C0771,69,511,580,0.11896551724137931,20
C0772,9,542,551,0.016333938294010888,19
C0773,684,592,1276,0.5360501567398119,44
C0775,198,2847,3045,0.06502463054187192,105
C0776,114,2380,2494,0.04570970328789094,86
C0777,78,1169,1247,0.06255012028869286,43
C0778,69,1816,1885,0.03660477453580902,65
C0781,0,551,551,0.0,19
C0782,105,1490,1595,0.06583072100313479,55
C0783,228,584,812,0.28078817733990147,28
C0785,57,59,116,0.49137931034482757,4
C0786,210,805,1015,0.20689655172413793,35
C0787,48,938,986,0.0486815415821501,34
C0788,153,1500,1653,0.0925589836660617,57
C0789,60,1564,1624,0.03694581280788178,56
C0790,102,1087,1189,0.08578637510513036,41
C0791,33,692,725,0.04551724137931035,25
C0792,57,668,725,0.07862068965517241,25
C0793,30,782,812,0.03694581280788178,28
C0796,0,493,493,0.0,17
C0797,114,1481,1595,0.07147335423197493,55
C0798,3,403,406,0.007389162561576354,14
C0799,60,1100,1160,0.05172413793103448,40
C0800,495,433,928,0.5334051724137931,32
C0801,117,2000,2117,0.05526688710439301,73
C0802,84,467,551,0.15245009074410162,19
C0803,27,495,522,0.05172413793103448,18
C0805,66,1674,1740,0.03793103448275862,60
C0806,126,1759,1885,0.06684350132625995,65
C0807,27,524,551,0.04900181488203267,19
C0808,12,597,609,0.019704433497536946,21
C0810,48,822,870,0.05517241379310345,30
C0811,321,346,667,0.48125937031484256,23
C0812,18,475,493,0.036511156186612576,17
C0813,12,510,522,0.022988505747126436,18
C0815,6,284,290,0.020689655172413793,10
C0816,129,1176,1305,0.09885057471264368,45
C0817,24,527,551,0.043557168784029036,19
C0818,33,315,348,0.09482758620689655,12
C0819,153,833,986,0.15517241379310345,34
C0820,39,686,725,0.05379310344827586,25
C0821,42,683,725,0.057931034482758624,25
C0822,147,549,696,0.21120689655172414,24
C0823,111,353,464,0.23922413793103448,16
C0825,60,404,464,0.12931034482758622,16
C0826,75,476,551,0.13611615245009073,19
C0827,51,181,232,0.21982758620689655,8
C0828,123,457,580,0.2120689655172414,20
C0829,72,450,522,0.13793103448275862,18
