Facility,N,Overall Missing Percent
5474,1,0.2765957446808511
1424,11,0.2765957446808511
4,2,0.2765957446808511
11995,1,0.2765957446808511
11994,1,0.2765957446808511
5455,1,0.2765957446808511
5454,1,0.2765957446808511
5451,1,0.2765957446808511
1285,16,0.2765957446808511
5105,1,0.2765957446808511
4418,1,0.2765957446808511
1443,8,0.2765957446808511
442,2,0.2765957446808511
1949,1,0.2765957446808511
1952,1,0.2765957446808511
1955,1,0.2765957446808511
1460,2,0.2765957446808511
106,3,0.2765957446808511
5259,1,0.2765957446808511
5449,1,0.2765957446808511
5464,1,0.2765957446808511
1489,6,0.2765957446808511
1976,1,0.2765957446808511
1793,2,0.2765957446808511
1781,1,0.2765957446808511
1118,12,0.2765957446808511
1375,3,0.2765957446808511
1372,8,0.2765957446808511
1564,2,0.2765957446808511
1501,2,0.2765957446808511
1762,1,0.2765957446808511
1763,1,0.2765957446808511
1767,1,0.2765957446808511
1355,9,0.2765957446808511
1357,7,0.2765957446808511
5280,1,0.2765957446808511
5277,1,0.2765957446808511
1546,4,0.2765957446808511
2426,1,0.2765957446808511
1514,4,0.2765957446808511
1274,20,0.2765957446808511
1549,3,0.2765957446808511
1547,4,0.2765957446808511
1555,4,0.2765957446808511
1552,2,0.2765957446808511
435,1,0.2765957446808511
120,1,0.2765957446808511
5443,1,0.2765957446808511
5444,1,0.2765957446808511
1545,6,0.276595744680851
1524,3,0.276595744680851
1272,14,0.276595744680851
1428,7,0.276595744680851
1283,21,0.276595744680851
1416,10,0.276595744680851
1288,18,0.27659574468085096
1516,7,0.27659574468085096
1412,6,0.27659574468085096
1176,24,0.27659574468085096
1344,15,0.27659574468085096
1210,18,0.27659574468085096
1269,19,0.27547592385218356
1295,18,0.2754137115839243
1332,16,0.2752659574468085
1267,24,0.2739361702127659
1229,23,0.2738205365402406
1144,21,0.27355623100303944
1302,6,0.27304964539007087
1260,15,0.27234042553191484
1207,15,0.27234042553191484
1203,18,0.2718676122931442
1370,13,0.2716857610474631
1171,26,0.2716857610474631
1328,12,0.27127659574468094
1445,11,0.27079303675048366
1264,21,0.2705167173252279
1273,20,0.27021276595744687
1358,10,0.2702127659574468
1286,18,0.2695035460992908
1387,9,0.2695035460992907
1395,9,0.2695035460992907
