Accuracy,Precision,Recall,Sensitivity,Specificity,PPV,NPV,F1,AUROC,Brier,TP,FP,TN,FN,Model,Fold
0.7861924686192469,0.5437665782493368,0.1943127962085308,0.1943127962085308,0.9538255033557047,0.5437665782493368,0.806949806949807,0.28631284916201116,0.8049509208308152,0.1389440033873684,205,172,3553,850,LogisticRegression (max_iter=1000),5
0.7900020916126334,0.5702479338842975,0.1962085308056872,0.1962085308056872,0.9581320450885669,0.5702479338842975,0.8080579447713898,0.2919605077574048,0.7882312836911368,0.1417804776925506,207,156,3570,848,Ridge,1
0.7949790794979079,0.6022099447513812,0.20683111954459202,0.20683111954459202,0.961352657004831,0.6022099447513812,0.8107741059302852,0.307909604519774,0.8048816664476813,0.13844472773808264,218,144,3582,836,Ridge,2
0.793305439330544,0.59375,0.198292220113852,0.198292220113852,0.9616210413311863,0.59375,0.8091689250225835,0.2972972972972973,0.7952184302114177,0.14057965522976817,209,143,3583,845,Ridge,3
0.797071129707113,0.6111111111111112,0.21916508538899432,0.21916508538899432,0.9605475040257649,0.6111111111111112,0.8130395274875056,0.3226256983240223,0.7856389685893578,0.14242121805160055,231,147,3579,823,Ridge,4
0.7853556485355648,0.5384615384615384,0.1924170616113744,0.1924170616113744,0.9532885906040268,0.5384615384615384,0.8064955712014535,0.2835195530726257,0.804622157193295,0.13907123372359875,203,174,3551,852,Ridge,5
0.7897929303492993,0.569060773480663,0.195260663507109,0.195260663507109,0.9581320450885669,0.569060773480663,0.8078750848608283,0.29075511644318985,0.7881847298222049,0.1417847657708682,206,156,3570,849,Lasso,1
0.7949790794979079,0.6022099447513812,0.20683111954459202,0.20683111954459202,0.961352657004831,0.6022099447513812,0.8107741059302852,0.307909604519774,0.8048539113323372,0.1384644789018589,218,144,3582,836,Lasso,2
0.793305439330544,0.5942857142857143,0.19734345351043645,0.19734345351043645,0.9618894256575417,0.5942857142857143,0.8090293453724605,0.2962962962962963,0.7951886380233877,0.1405952029363767,208,142,3584,846,Lasso,3
0.796652719665272,0.6090425531914894,0.21726755218216318,0.21726755218216318,0.9605475040257649,0.6090425531914894,0.8126702997275205,0.3202797202797203,0.785529985200667,0.14244442157076134,229,147,3579,825,Lasso,4
0.7857740585774059,0.5411140583554377,0.1933649289099526,0.1933649289099526,0.9535570469798658,0.5411140583554377,0.8067226890756303,0.2849162011173184,0.8047297942046504,0.13903868756469287,204,173,3552,851,Lasso,5
0.7900020916126334,0.5702479338842975,0.1962085308056872,0.1962085308056872,0.9581320450885669,0.5702479338842975,0.8080579447713898,0.2919605077574048,0.7882156385384629,0.14178025260328536,207,156,3570,848,Elastic,1
0.7949790794979079,0.6022099447513812,0.20683111954459202,0.20683111954459202,0.961352657004831,0.6022099447513812,0.8107741059302852,0.307909604519774,0.8048737727910238,0.13845398830737735,218,144,3582,836,Elastic,2
0.793305439330544,0.59375,0.198292220113852,0.198292220113852,0.9616210413311863,0.59375,0.8091689250225835,0.2972972972972973,0.7952082448479885,0.14058706805154175,209,143,3583,845,Elastic,3
0.7968619246861924,0.610079575596817,0.21821631878557876,0.21821631878557876,0.9605475040257649,0.610079575596817,0.8128548716784011,0.3214535290006988,0.7855839676268408,0.14243162739215867,230,147,3579,824,Elastic,4
0.7855648535564853,0.5396825396825397,0.1933649289099526,0.1933649289099526,0.9532885906040268,0.5396825396825397,0.8066787823716493,0.2847173761339846,0.8046654155666529,0.13905791901270648,204,174,3551,851,Elastic,5
