Facility,N,Overall Missing Percent
1798,2,0.3404255319148936
1783,1,0.3404255319148936
1864,1,0.3404255319148936
1866,1,0.3404255319148936
11930,1,0.3404255319148936
1834,1,0.3404255319148936
5157,1,0.3404255319148936
2112,1,0.3404255319148936
4309,1,0.3404255319148936
5206,1,0.3404255319148936
4268,1,0.3404255319148936
5205,1,0.3404255319148936
5204,1,0.3404255319148936
4282,1,0.3404255319148936
5203,1,0.3404255319148936
5202,1,0.3404255319148936
5201,1,0.3404255319148936
5211,2,0.3404255319148936
4310,1,0.3404255319148936
5200,1,0.3404255319148936
4312,1,0.3404255319148936
5198,1,0.3404255319148936
4317,1,0.3404255319148936
4329,1,0.3404255319148936
5189,1,0.3404255319148936
5209,1,0.3404255319148936
4267,1,0.3404255319148936
5420,1,0.3404255319148936
4207,1,0.3404255319148936
4127,1,0.3404255319148936
5232,1,0.3404255319148936
4147,1,0.3404255319148936
4171,1,0.3404255319148936
4183,1,0.3404255319148936
4186,1,0.3404255319148936
5228,1,0.3404255319148936
4211,1,0.3404255319148936
5212,1,0.3404255319148936
4213,1,0.3404255319148936
4214,1,0.3404255319148936
4218,1,0.3404255319148936
4222,1,0.3404255319148936
5227,1,0.3404255319148936
4255,1,0.3404255319148936
5220,1,0.3404255319148936
4348,1,0.3404255319148936
5102,1,0.3404255319148936
5186,1,0.3404255319148936
5159,1,0.3404255319148936
5161,1,0.3404255319148936
5160,1,0.3404255319148936
5133,1,0.3404255319148936
5134,2,0.3404255319148936
5136,1,0.3404255319148936
5138,1,0.3404255319148936
5140,1,0.3404255319148936
5158,1,0.3404255319148936
5185,1,0.3404255319148936
5141,1,0.3404255319148936
5144,1,0.3404255319148936
5145,1,0.3404255319148936
5147,1,0.3404255319148936
5148,1,0.3404255319148936
5150,1,0.3404255319148936
5155,1,0.3404255319148936
5163,1,0.3404255319148936
5164,1,0.3404255319148936
5166,1,0.3404255319148936
5168,1,0.3404255319148936
5106,1,0.3404255319148936
5184,1,0.3404255319148936
5183,1,0.3404255319148936
5112,1,0.3404255319148936
5181,1,0.3404255319148936
5113,1,0.3404255319148936
5180,1,0.3404255319148936
5179,1,0.3404255319148936
5114,1,0.3404255319148936
5115,1,0.3404255319148936
5116,1,0.3404255319148936
5117,1,0.3404255319148936
5178,1,0.3404255319148936
5176,1,0.3404255319148936
5175,1,0.3404255319148936
